Symbol,Open,High,Low,Prev.Close,LTP,CHNG,%CHNG,Volume
NIFTY 50,"24,351.00","24,443.60","24,331.90","24,320.55","24,433.20",112.65,0.46,"25,05,37,091"
MARUTI,"12,325.00","12,959.95","12,264.05","12,023.60","12,807.00",783.40,6.52,"21,14,130"
DIVISLAB,"4,491.40","4,582.90","4,458.00","4,464.20","4,570.00",105.80,2.37,"7,69,145"
M&M,"2,855.35","2,940.00","2,837.25","2,851.35","2,915.05",63.70,2.23,"29,02,129"
TITAN,"3,170.00","3,222.05","3,165.00","3,156.20","3,216.00",59.80,1.89,"20,44,328"
HINDALCO,702.00,710.65,695.55,697.20,710.15,12.95,1.86,"55,07,357"
CIPLA,"1,496.90","1,515.00","1,487.30","1,487.05","1,514.00",26.95,1.81,"17,91,406"
ITC,447.60,455.00,444.00,443.60,451.50,7.90,1.78,"2,64,70,260"
SUNPHARMA,"1,564.80","1,589.90","1,549.80","1,556.40","1,583.65",27.25,1.75,"14,92,840"
BRITANNIA,"5,700.00","5,705.00","5,583.05","5,568.55","5,664.00",95.45,1.71,"3,89,812"
GRASIM,"2,735.10","2,785.95","2,718.90","2,742.15","2,784.80",42.65,1.56,"4,51,862"
HEROMOTOCO,"5,525.05","5,599.45","5,505.05","5,501.90","5,584.00",82.10,1.49,"5,70,084"
EICHERMOT,"4,757.60","4,838.00","4,742.00","4,754.45","4,825.00",70.55,1.48,"6,31,367"
NESTLEIND,"2,627.30","2,640.10","2,593.60","2,603.40","2,635.00",31.60,1.21,"8,32,573"
TATAMOTORS,"1,000.95","1,017.00",998.10,"1,002.60","1,014.15",11.55,1.15,"1,09,48,094"
LT,"3,650.00","3,685.00","3,646.10","3,632.00","3,665.95",33.95,0.93,"24,25,176"
DRREDDY,"6,540.00","6,595.00","6,430.95","6,534.15","6,591.00",56.85,0.87,"3,46,928"
ICICIBANK,"1,234.95","1,250.20","1,229.30","1,235.05","1,245.75",10.70,0.87,"1,33,66,874"
ULTRACEMCO,"11,582.95","11,761.70","11,484.45","11,582.90","11,668.85",85.95,0.74,"5,30,901"
BAJAJFINSV,"1,577.70","1,583.90","1,567.00","1,570.10","1,581.00",10.90,0.69,"12,33,946"
SBILIFE,"1,525.00","1,529.00","1,512.40","1,514.95","1,524.00",9.05,0.60,"7,26,889"
POWERGRID,340.00,342.35,338.10,339.40,340.95,1.55,0.46,"92,14,579"
ASIANPAINT,"2,908.95","2,913.20","2,890.00","2,898.15","2,906.85",8.70,0.30,"6,85,431"
ADANIPORTS,"1,480.00","1,503.95","1,475.00","1,475.30","1,479.65",4.35,0.29,"22,56,634"
BPCL,301.25,302.15,296.40,299.50,300.20,0.70,0.23,"1,80,94,862"
HDFCBANK,"1,625.00","1,646.70","1,620.35","1,635.35","1,638.80",3.45,0.21,"2,42,75,439"
BAJAJ-AUTO,"9,565.00","9,565.00","9,481.20","9,529.40","9,546.00",16.60,0.17,"2,62,913"
JSWSTEEL,939.00,940.80,932.30,939.20,933.50,1.60,0.17,"14,89,629"
HINDUNILVR,"2,587.15","2,614.00","2,568.00","2,587.15","2,590.00",2.85,0.11,"14,79,529"
HDFCLIFE,622.00,629.35,620.90,620.90,621.55,0.65,0.10,"50,00,797"
TECHM,"1,466.00","1,469.40","1,455.00","1,467.60","1,468.25",0.65,0.04,"10,49,695"
APOLLOHOSP,"6,309.30","6,350.40","6,255.90","6,317.45","6,320.00",2.55,0.04,"1,76,239"
SBIN,859.90,869.95,856.00,856.25,856.50,0.25,0.03,"1,35,85,081"
COALINDIA,496.95,496.95,491.10,493.30,493.25,-0.05,-0.01,"64,44,684"
AXISBANK,"1,284.00","1,295.00","1,279.20","1,287.85","1,287.40",-0.45,-0.03,"69,30,340"
WIPRO,544.00,544.95,537.60,541.20,541.00,-0.20,-0.04,"43,40,722"
ADANIENT,"3,115.95","3,158.00","3,100.50","3,113.60","3,112.00",-1.60,-0.05,"9,22,403"
BHARTIARTL,"1,436.00","1,441.65","1,428.15","1,435.15","1,434.35",-0.80,-0.06,"28,97,480"
TATASTEEL,173.60,173.70,171.51,172.28,171.94,-0.34,-0.20,"2,51,27,904"
HCLTECH,"1,533.40","1,546.30","1,525.00","1,533.40","1,530.00",-3.40,-0.22,"26,58,608"
NTPC,379.20,380.25,375.05,377.45,376.60,-0.85,-0.23,"83,55,819"
TCS,"3,985.00","4,006.95","3,975.10","3,993.20","3,983.70",-9.50,-0.24,"13,05,801"
INDUSINDBK,"1,441.00","1,449.60","1,426.00","1,438.05","1,434.20",-3.85,-0.27,"31,26,274"
SHRIRAMFIN,"2,808.90","2,813.95","2,775.15","2,808.10","2,799.00",-9.10,-0.32,"12,71,952"
INFY,"1,659.90","1,666.75","1,651.00","1,661.65","1,656.20",-5.45,-0.33,"51,91,182"
LTIM,"5,405.50","5,428.70","5,334.85","5,389.70","5,370.00",-19.70,-0.37,"2,41,090"
KOTAKBANK,"1,861.20","1,870.00","1,830.00","1,853.20","1,845.00",-8.20,-0.44,"39,20,211"
ONGC,300.80,301.85,293.35,299.15,297.35,-1.80,-0.60,"1,86,86,252"
BAJFINANCE,"7,109.85","7,142.40","7,042.00","7,098.25","7,055.00",-43.25,-0.61,"9,73,503"
TATACONSUM,"1,161.40","1,168.50","1,140.00","1,150.80","1,142.00",-8.80,-0.76,"15,45,936"
RELIANCE,"3,195.20","3,201.00","3,161.00","3,201.80","3,176.30",-25.50,-0.80,"34,80,001"
